item_id,titulo,tematica
doc_0085,Apunte: Funciones y modularidad,Introduccion a la Programacion
doc_0086,Apunte: Estructuras condicionales (parte 2),Introduccion a la Programacion
doc_0087,Apunte: Estructuras condicionales (parte 3),Introduccion a la Programacion
doc_0088,Video clase: Estructuras condicionales,Introduccion a la Programacion
doc_0089,Examen resuelto: Arreglos y matrices,Introduccion a la Programacion
doc_0090,Guia de ejercicios: Funciones y modularidad (parte 4),Introduccion a la Programacion
doc_0091,Examen resuelto: Cadenas de texto,Introduccion a la Programacion
doc_0092,Taller: Punteros basicos,Introduccion a la Programacion
doc_0093,Taller: Recursividad basica (parte 3),Introduccion a la Programacion
doc_0094,Apunte: Depuracion de errores comunes,Introduccion a la Programacion
doc_0095,Practica resuelta: Punteros basicos (parte 2),Introduccion a la Programacion
doc_0096,Resumen: Entrada y salida estandar (parte 2),Introduccion a la Programacion
doc_0097,Guia de ejercicios: Entrada y salida estandar,Introduccion a la Programacion
doc_0098,Examen resuelto: Arreglos y matrices (parte 2),Introduccion a la Programacion
doc_0099,Examen resuelto: Estructuras condicionales,Introduccion a la Programacion
doc_0100,Practica resuelta: Pseudocodigo y diagramas de flujo (parte 2),Introduccion a la Programacion
doc_0101,Apunte: Punteros basicos,Introduccion a la Programacion
doc_0102,Video clase: Estructuras condicionales (parte 2),Introduccion a la Programacion
doc_0103,Examen resuelto: Derivadas implicitas,Calculo I
doc_0104,Video clase: Razon de cambio,Calculo I
doc_0105,Apunte: Derivadas implicitas,Calculo I
doc_0106,Taller: Regla de la cadena,Calculo I
doc_0107,Taller: Limites y continuidad,Calculo I
doc_0108,Examen resuelto: Optimizacion,Calculo I
doc_0109,Taller: Optimizacion,Calculo I
doc_0110,Examen resuelto: Repaso para el primer parcial,Calculo I
doc_0111,Video clase: Regla de la cadena,Calculo I
doc_0112,Video clase: Optimizacion,Calculo I
doc_0113,Apunte: Limites y continuidad,Calculo I
doc_0114,Resumen: Repaso para el primer parcial,Calculo I
doc_0115,Apunte: Limites y continuidad (parte 4),Calculo I
doc_0116,Guia de ejercicios: Razon de cambio,Calculo I
doc_0117,Practica resuelta: Limites y continuidad,Calculo I
doc_0118,Practica resuelta: Regla de la cadena,Calculo I
doc_0119,Practica resuelta: Limites al infinito,Calculo I
doc_0120,Video clase: Funciones trigonometricas y sus derivadas,Calculo I
doc_0121,Practica resuelta: Derivadas implicitas,Calculo I
doc_0122,Video clase: Limites al infinito,Calculo I
doc_0123,Apunte: Limites al infinito,Calculo I
doc_0124,Practica resuelta: Limites al infinito (parte 3),Calculo I
doc_0125,Resumen: Funciones trigonometricas y sus derivadas,Calculo I
doc_0126,Video clase: Optimizacion (parte 4),Calculo I
doc_0127,Resumen: Repaso para el primer parcial (parte 2),Calculo I
doc_0128,Taller: Optimizacion (parte 2),Calculo I
doc_0129,Diapositivas: Funciones trigonometricas y sus derivadas,Calculo I
doc_0130,Resumen: Razon de cambio,Calculo I
doc_0131,Apunte: Derivadas de funciones basicas,Calculo I
doc_0132,Practica resuelta: Razon de cambio,Calculo I
doc_0133,Video clase: Derivadas de funciones basicas,Calculo I
doc_0134,Diapositivas: Graficacion de funciones,Calculo I
doc_0135,Resumen: Regla de la cadena,Calculo I
doc_0136,Video clase: Derivadas de funciones basicas (parte 3),Calculo I
doc_0137,Guia de ejercicios: Optimizacion,Calculo I
doc_0138,Diapositivas: Razon de cambio,Calculo I
doc_0139,Apunte: Limites al infinito (parte 4),Calculo I
doc_0140,Diapositivas: Graficacion de funciones (parte 4),Calculo I
doc_0141,Guia de ejercicios: Derivadas de funciones basicas,Calculo I
doc_0142,Practica resuelta: Optimizacion,Calculo I
doc_0143,Guia de ejercicios: Derivadas de funciones basicas (parte 3),Calculo I
doc_0144,Video clase: Teorema del valor medio,Calculo I
doc_0145,Diapositivas: Funciones trigonometricas y sus derivadas (parte 4),Calculo I
doc_0146,Diapositivas: Razon de cambio (parte 2),Calculo I
doc_0147,Taller: Derivadas de funciones basicas,Calculo I
doc_0148,Apunte: Optimizacion,Calculo I
doc_0149,Resumen: Limites y continuidad,Calculo I
doc_0150,Diapositivas: Regla de la cadena,Calculo I
doc_0151,Examen resuelto: Regla de la cadena,Calculo I
doc_0152,Taller: Graficacion de funciones,Calculo I
doc_0153,Apunte: Graficacion de funciones,Calculo I
doc_0154,Practica resuelta: Derivadas de funciones basicas,Calculo I
doc_0155,Guia de ejercicios: Repaso para el primer parcial,Calculo I
doc_0156,Apunte: Graficacion de funciones (parte 3),Calculo I
doc_0157,Guia de ejercicios: Limites al infinito,Calculo I
doc_0158,Guia de ejercicios: Derivadas implicitas,Calculo I
doc_0159,Diapositivas: Limites y continuidad,Calculo I
doc_0160,Apunte: Teorema del valor medio,Calculo I
doc_0161,Video clase: Teorema del valor medio (parte 4),Calculo I
doc_0162,Practica resuelta: Maximos y minimos,Calculo I
doc_0163,Taller: Teorema del valor medio,Calculo I
doc_0164,Guia de ejercicios: Limites al infinito (parte 2),Calculo I
doc_0165,Guia de ejercicios: Regla de la cadena,Calculo I
doc_0166,Apunte: Derivadas implicitas (parte 2),Calculo I
doc_0167,Resumen: Repaso para el primer parcial (parte 3),Calculo I
doc_0168,Video clase: Funciones trigonometricas y sus derivadas (parte 3),Calculo I
doc_0169,Practica resuelta: Regla de la cadena (parte 3),Calculo I
doc_0170,Examen resuelto: Limites y continuidad,Calculo I
doc_0171,Video clase: Maximos y minimos,Calculo I
doc_0172,Resumen: Razon de cambio (parte 3),Calculo I
doc_0173,Video clase: Maximos y minimos (parte 2),Calculo I
doc_0174,Diapositivas: Teorema del valor medio,Calculo I
doc_0175,Diapositivas: Derivadas de funciones basicas,Calculo I
doc_0176,Taller: Teorema del valor medio (parte 4),Calculo I
doc_0177,Resumen: Graficacion de funciones,Calculo I
doc_0178,Practica resuelta: Limites y continuidad (parte 3),Calculo I
doc_0179,Diapositivas: Regla de la cadena (parte 2),Calculo I
doc_0180,Taller: Derivadas de funciones basicas (parte 3),Calculo I
doc_0181,Video clase: Limites al infinito (parte 3),Calculo I
doc_0182,Taller: Limites y continuidad (parte 2),Calculo I
doc_0183,Video clase: Graficacion de funciones,Calculo I
doc_0184,Taller: Teorema del valor medio (parte 2),Calculo I
doc_0185,Resumen: Funciones trigonometricas y sus derivadas (parte 4),Calculo I
doc_0186,Practica resuelta: Teorema del valor medio,Calculo I
doc_0187,Diapositivas: Repaso para el primer parcial,Calculo I
doc_0188,Resumen: Derivadas implicitas,Calculo I
doc_0189,Diapositivas: Derivadas implicitas,Calculo I
doc_0190,Guia de ejercicios: Graficacion de funciones,Calculo I
doc_0191,Taller: Maximos y minimos,Calculo I
doc_0192,Taller: Funciones trigonometricas y sus derivadas,Calculo I
doc_0193,Guia de ejercicios: Funciones trigonometricas y sus derivadas,Calculo I
doc_0194,Diapositivas: Determinantes 2x2 y 3x3,Algebra
doc_0195,Apunte: Logaritmos y exponenciales,Algebra
doc_0196,Diapositivas: Inecuaciones,Algebra
doc_0197,Taller: Sistemas de ecuaciones,Algebra
doc_0198,Resumen: Determinantes 2x2 y 3x3,Algebra
doc_0199,Examen resuelto: Sucesiones y series,Algebra
doc_0200,Video clase: Sucesiones y series,Algebra
doc_0201,Examen resuelto: Matrices basicas,Algebra
doc_0202,Practica resuelta: Ecuaciones lineales,Algebra
doc_0203,Resumen: Inecuaciones,Algebra
doc_0204,Video clase: Polinomios y factorizacion,Algebra
doc_0205,Video clase: Inecuaciones,Algebra
doc_0206,Guia de ejercicios: Sistemas de ecuaciones,Algebra
doc_0207,Apunte: Numeros complejos,Algebra
doc_0208,Examen resuelto: Sistemas de ecuaciones,Algebra
doc_0209,Practica resuelta: Determinantes 2x2 y 3x3,Algebra
doc_0210,Taller: Sucesiones y series,Algebra
doc_0211,Video clase: Determinantes 2x2 y 3x3,Algebra
doc_0212,Examen resuelto: Logaritmos y exponenciales,Algebra
doc_0213,Video clase: Logaritmos y exponenciales,Algebra
doc_0214,Apunte: Ecuaciones lineales,Algebra
doc_0215,Taller: Polinomios y factorizacion,Algebra
doc_0216,Guia de ejercicios: Sistemas de ecuaciones (parte 4),Algebra
doc_0217,Examen resuelto: Matrices basicas (parte 2),Algebra
doc_0218,Video clase: Matrices basicas,Algebra
doc_0219,Examen resuelto: Polinomios y factorizacion,Algebra
doc_0220,Examen resuelto: Ecuaciones lineales,Algebra
doc_0221,Resumen: Matrices basicas,Algebra
doc_0222,Taller: Sucesiones y series (parte 4),Algebra
doc_0223,Guia de ejercicios: Sucesiones y series,Algebra
doc_0224,Examen resuelto: Sucesiones y series (parte 3),Algebra
doc_0225,Diapositivas: Sistemas de ecuaciones,Algebra
doc_0226,Examen resuelto: Matrices basicas (parte 4),Algebra
doc_0227,Diapositivas: Sistemas de ecuaciones (parte 3),Algebra
doc_0228,Diapositivas: Polinomios y factorizacion,Algebra
doc_0229,Practica resuelta: Funciones y sus graficas,Algebra
doc_0230,Guia de ejercicios: Ecuaciones lineales,Algebra
doc_0231,Taller: Sistemas de ecuaciones (parte 4),Algebra
doc_0232,Video clase: Ecuaciones lineales,Algebra
doc_0233,Taller: Polinomios y factorizacion (parte 3),Algebra
doc_0234,Examen resuelto: Funciones y sus graficas,Algebra
doc_0235,Apunte: Logaritmos y exponenciales (parte 2),Algebra
doc_0236,Taller: Logaritmos y exponenciales,Algebra
doc_0237,Apunte: Determinantes 2x2 y 3x3,Algebra
doc_0238,Taller: Determinantes 2x2 y 3x3,Algebra
doc_0239,Apunte: Sucesiones y series,Algebra
doc_0240,Diapositivas: Funciones y sus graficas,Algebra
doc_0241,Taller: Logaritmos y exponenciales (parte 4),Algebra
doc_0242,Video clase: Matrices basicas (parte 3),Algebra
doc_0243,Apunte: Sucesiones y series (parte 3),Algebra
doc_0244,Taller: Funciones y sus graficas,Algebra
doc_0245,Examen resuelto: Ecuaciones lineales (parte 2),Algebra
doc_0246,Apunte: Determinantes 2x2 y 3x3 (parte 3),Algebra
doc_0247,Apunte: Determinantes 2x2 y 3x3 (parte 2),Algebra
doc_0248,Guia de ejercicios: Logaritmos y exponenciales,Algebra
doc_0249,Guia de ejercicios: Sucesiones y series (parte 2),Algebra
doc_0250,Taller: Inecuaciones,Algebra
doc_0251,Video clase: Funciones y sus graficas,Algebra
doc_0252,Resumen: Sucesiones y series,Algebra
doc_0253,Taller: Funciones y sus graficas (parte 3),Algebra
doc_0254,Diapositivas: Logaritmos y exponenciales,Algebra
doc_0255,Examen resuelto: Polinomios y factorizacion (parte 2),Algebra
doc_0256,Apunte: Matrices basicas,Algebra
doc_0257,Video clase: Funciones y sus graficas (parte 4),Algebra
doc_0258,Apunte: Polinomios y factorizacion,Algebra
doc_0259,Video clase: Numeros complejos,Algebra
doc_0260,Apunte: Sistemas de ecuaciones,Algebra
doc_0261,Guia de ejercicios: Determinantes 2x2 y 3x3,Algebra
doc_0262,Guia de ejercicios: Sistemas de ecuaciones (parte 3),Algebra
doc_0263,Video clase: Polinomios y factorizacion (parte 3),Algebra
doc_0264,Resumen: Movimiento circular,Fisica I
doc_0265,Practica resuelta: Trabajo y energia,Fisica I
doc_0266,Diapositivas: Trabajo y energia,Fisica I
doc_0267,Apunte: Leyes de Newton,Fisica I
doc_0268,Taller: Movimiento circular,Fisica I
doc_0269,Video clase: Gravitacion,Fisica I
doc_0270,Video clase: Leyes de Newton,Fisica I
doc_0271,Diapositivas: Leyes de Newton,Fisica I
doc_0272,Apunte: Leyes de Newton (parte 3),Fisica I
doc_0273,Taller: Vectores en fisica,Fisica I
doc_0274,Practica resuelta: Estatica de cuerpo rigido,Fisica I
doc_0275,Resumen: Vectores en fisica,Fisica I
doc_0276,Taller: Cinematica en una dimension,Fisica I
doc_0277,Practica resuelta: Practica de laboratorio: caida libre,Fisica I
doc_0278,Resumen: Gravitacion,Fisica I
doc_0279,Guia de ejercicios: Practica de laboratorio: caida libre,Fisica I
doc_0280,Guia de ejercicios: Gravitacion,Fisica I
doc_0281,Diapositivas: Vectores en fisica,Fisica I
doc_0282,Examen resuelto: Vectores en fisica,Fisica I
doc_0283,Taller: Practica de laboratorio: caida libre,Fisica I
doc_0284,Resumen: Movimiento circular (parte 2),Fisica I
doc_0285,Diapositivas: Leyes de Newton (parte 3),Fisica I
doc_0286,Examen resuelto: Momento lineal y colisiones,Fisica I
doc_0287,Resumen: Gravitacion (parte 2),Fisica I
doc_0288,Resumen: Practica de laboratorio: caida libre,Fisica I
doc_0289,Examen resuelto: Trabajo y energia,Fisica I
doc_0290,Resumen: Momento lineal y colisiones,Fisica I
doc_0291,Resumen: Movimiento circular (parte 3),Fisica I
doc_0292,Apunte: Movimiento circular,Fisica I
doc_0293,Video clase: Vectores en fisica,Fisica I
doc_0294,Video clase: Leyes de Newton (parte 4),Fisica I
doc_0295,Examen resuelto: Gravitacion,Fisica I
doc_0296,Video clase: Vectores en fisica (parte 4),Fisica I
doc_0297,Examen resuelto: Practica de laboratorio: caida libre,Fisica I
doc_0298,Apunte: Practica de laboratorio: caida libre,Fisica I
doc_0299,Diapositivas: Leyes de Newton (parte 2),Fisica I
doc_0300,Video clase: Gravitacion (parte 3),Fisica I
doc_0301,Examen resuelto: Estatica de cuerpo rigido,Fisica I
doc_0302,Resumen: Vectores en fisica (parte 3),Fisica I
doc_0303,Diapositivas: Practica de laboratorio: caida libre,Fisica I
doc_0304,Diapositivas: Movimiento circular,Fisica I
doc_0305,Practica resuelta: Momento lineal y colisiones,Fisica I
doc_0306,Resumen: Momento lineal y colisiones (parte 2),Fisica I
doc_0307,Guia de ejercicios: Vectores en fisica,Fisica I
doc_0308,Video clase: Momento lineal y colisiones,Fisica I
doc_0309,Diapositivas: Practica de laboratorio: caida libre (parte 4),Fisica I
doc_0310,Diapositivas: Vectores en fisica (parte 2),Fisica I
doc_0311,Diapositivas: Momento lineal y colisiones,Fisica I
doc_0312,Apunte: Movimiento circular (parte 4),Fisica I
doc_0313,Guia de ejercicios: Vectores en fisica (parte 3),Fisica I
doc_0314,Apunte: Cinematica en una dimension,Fisica I
doc_0315,Diapositivas: Vectores en fisica (parte 4),Fisica I
doc_0316,Examen resuelto: Trabajo y energia (parte 2),Fisica I
doc_0317,Diapositivas: Cinematica en una dimension,Fisica I
doc_0318,Examen resuelto: Practica de laboratorio: caida libre (parte 3),Fisica I
doc_0319,Guia de ejercicios: Estatica de cuerpo rigido,Fisica I
doc_0320,Diapositivas: Cinematica en una dimension (parte 3),Fisica I
doc_0321,Practica resuelta: Leyes de Newton,Fisica I
doc_0322,Examen resuelto: Gravitacion (parte 2),Fisica I
doc_0323,Guia de ejercicios: Cinematica en una dimension,Fisica I
doc_0324,Diapositivas: Trabajo y energia (parte 2),Fisica I
doc_0325,Practica resuelta: Momento lineal y colisiones (parte 4),Fisica I
doc_0326,Video clase: Gravitacion (parte 4),Fisica I
doc_0327,Examen resuelto: Series infinitas,Calculo II
doc_0328,Diapositivas: Integrales impropias,Calculo II
doc_0329,Taller: Repaso para el segundo parcial,Calculo II
doc_0330,Apunte: Volumenes de solidos de revolucion,Calculo II
doc_0331,Practica resuelta: Repaso para el segundo parcial,Calculo II
doc_0332,Video clase: Aplicaciones del area bajo la curva,Calculo II
doc_0333,Practica resuelta: Volumenes de solidos de revolucion,Calculo II
doc_0334,Video clase: Integral definida,Calculo II
doc_0335,Practica resuelta: Integral definida,Calculo II
doc_0336,Apunte: Integral definida,Calculo II
doc_0337,Examen resuelto: Series infinitas (parte 4),Calculo II
doc_0338,Examen resuelto: Repaso para el segundo parcial,Calculo II
doc_0339,Apunte: Volumenes de solidos de revolucion (parte 2),Calculo II
doc_0340,Diapositivas: Volumenes de solidos de revolucion,Calculo II
doc_0341,Practica resuelta: Integrales impropias,Calculo II
doc_0342,Diapositivas: Aplicaciones del area bajo la curva,Calculo II
doc_0343,Video clase: Repaso para el segundo parcial,Calculo II
doc_0344,Practica resuelta: Series infinitas,Calculo II
doc_0345,Video clase: Coordenadas polares,Calculo II
doc_0346,Diapositivas: Integral definida,Calculo II
doc_0347,Practica resuelta: Integral definida (parte 2),Calculo II
doc_0348,Diapositivas: Integral definida (parte 4),Calculo II
doc_0349,Diapositivas: Repaso para el segundo parcial,Calculo II
doc_0350,Practica resuelta: Integrales impropias (parte 3),Calculo II
doc_0351,Taller: Volumenes de solidos de revolucion,Calculo II
doc_0352,Examen resuelto: Volumenes de solidos de revolucion,Calculo II
doc_0353,Practica resuelta: Integrales impropias (parte 4),Calculo II
doc_0354,Taller: Integrales indefinidas,Calculo II
doc_0355,Diapositivas: Series de Taylor,Calculo II
doc_0356,Practica resuelta: Integrales indefinidas,Calculo II
doc_0357,Apunte: Aplicaciones del area bajo la curva,Calculo II
doc_0358,Examen resuelto: Integrales impropias,Calculo II
doc_0359,Guia de ejercicios: Volumenes de solidos de revolucion,Calculo II
doc_0360,Taller: Repaso para el segundo parcial (parte 4),Calculo II
doc_0361,Taller: Series de Taylor,Calculo II
doc_0362,Resumen: Series de Taylor,Calculo II
doc_0363,Guia de ejercicios: Tecnicas de integracion,Calculo II
doc_0364,Taller: Series de Taylor (parte 4),Calculo II
doc_0365,Diapositivas: Integrales impropias (parte 4),Calculo II
doc_0366,Apunte: Series infinitas,Calculo II
doc_0367,Resumen: Volumenes de solidos de revolucion,Calculo II
doc_0368,Taller: Tecnicas de integracion,Calculo II
doc_0369,Apunte: Coordenadas polares,Calculo II
doc_0370,Examen resuelto: Coordenadas polares,Calculo II
doc_0371,Apunte: Series infinitas (parte 2),Calculo II
doc_0372,Resumen: Coordenadas polares,Calculo II
doc_0373,Examen resuelto: Repaso para el segundo parcial (parte 4),Calculo II
doc_0374,Apunte: Integrales impropias,Calculo II
doc_0375,Diapositivas: Aplicaciones del area bajo la curva (parte 4),Calculo II
doc_0376,Diapositivas: Integral definida (parte 3),Calculo II
doc_0377,Practica resuelta: Integrales impropias (parte 2),Calculo II
doc_0378,Video clase: Repaso para el segundo parcial (parte 4),Calculo II
doc_0379,Taller: Integrales indefinidas (parte 2),Calculo II
doc_0380,Practica resuelta: Aplicaciones del area bajo la curva,Calculo II
doc_0381,Examen resuelto: Integral definida,Calculo II
doc_0382,Diapositivas: Volumenes de solidos de revolucion (parte 3),Calculo II
doc_0383,Examen resuelto: Integrales impropias (parte 2),Calculo II
doc_0384,Guia de ejercicios: Integrales impropias,Calculo II
doc_0385,Video clase: Series infinitas,Calculo II
doc_0386,Guia de ejercicios: Repaso para el segundo parcial,Calculo II
doc_0387,Diapositivas: Tecnicas de integracion,Calculo II
doc_0388,Resumen: Series infinitas,Calculo II
doc_0389,Diapositivas: Coordenadas polares,Calculo II
doc_0390,Diapositivas: Integrales indefinidas,Calculo II
doc_0391,Examen resuelto: Volumenes de solidos de revolucion (parte 2),Calculo II
doc_0392,Examen resuelto: Integrales impropias (parte 3),Calculo II
doc_0393,Taller: Series de Taylor (parte 3),Calculo II
doc_0394,Video clase: Series de Taylor,Calculo II
doc_0395,Taller: Aplicaciones del area bajo la curva,Calculo II
doc_0396,Taller: Aplicaciones del area bajo la curva (parte 2),Calculo II
doc_0397,Examen resuelto: Series de Taylor,Calculo II
doc_0398,Taller: Series infinitas,Calculo II
doc_0399,Examen resuelto: Integral definida (parte 2),Calculo II
doc_0400,Resumen: Integral definida,Calculo II
doc_0401,Examen resuelto: Tecnicas de integracion,Calculo II
doc_0402,Examen resuelto: Tecnicas de integracion (parte 2),Calculo II
doc_0403,Taller: Integral definida,Calculo II
doc_0404,Practica resuelta: Integral definida (parte 3),Calculo II
doc_0405,Resumen: Volumenes de solidos de revolucion (parte 4),Calculo II
doc_0406,Practica resuelta: Series infinitas (parte 3),Calculo II
doc_0407,Taller: Coordenadas polares,Calculo II
doc_0408,Examen resuelto: Series de Taylor (parte 4),Calculo II
doc_0409,Practica resuelta: Integrales indefinidas (parte 2),Calculo II
doc_0410,Video clase: Volumenes de solidos de revolucion,Calculo II
doc_0411,Taller: Combinaciones lineales,Algebra Lineal
doc_0412,Practica resuelta: Combinaciones lineales,Algebra Lineal
doc_0413,Guia de ejercicios: Diagonalizacion,Algebra Lineal
doc_0414,Apunte: Matrices y operaciones,Algebra Lineal
doc_0415,Resumen: Espacios vectoriales,Algebra Lineal
doc_0416,Diapositivas: Espacios vectoriales,Algebra Lineal
doc_0417,Resumen: Determinantes,Algebra Lineal
doc_0418,Guia de ejercicios: Valores y vectores propios,Algebra Lineal
doc_0419,Taller: Transformaciones lineales,Algebra Lineal
doc_0420,Guia de ejercicios: Producto punto y ortogonalidad,Algebra Lineal
doc_0421,Guia de ejercicios: Independencia lineal,Algebra Lineal
doc_0422,Taller: Combinaciones lineales (parte 4),Algebra Lineal
doc_0423,Video clase: Bases y dimension,Algebra Lineal
doc_0424,Guia de ejercicios: Diagonalizacion (parte 2),Algebra Lineal
doc_0425,Diapositivas: Diagonalizacion,Algebra Lineal
doc_0426,Diapositivas: Diagonalizacion (parte 4),Algebra Lineal
doc_0427,Examen resuelto: Espacios vectoriales,Algebra Lineal
doc_0428,Guia de ejercicios: Matrices y operaciones,Algebra Lineal
doc_0429,Examen resuelto: Combinaciones lineales,Algebra Lineal
doc_0430,Diapositivas: Determinantes,Algebra Lineal
doc_0431,Taller: Bases y dimension,Algebra Lineal
doc_0432,Examen resuelto: Matrices y operaciones,Algebra Lineal
doc_0433,Video clase: Matrices y operaciones,Algebra Lineal
doc_0434,Examen resuelto: Valores y vectores propios,Algebra Lineal
doc_0435,Video clase: Combinaciones lineales,Algebra Lineal
doc_0436,Resumen: Valores y vectores propios,Algebra Lineal
